Exame,Unidade,Referencia_Texto_Completo,Referencia_Paciente_Especifico,Sexo,Faixa_Etaria,Gestante,Data_Ultima_Atualizacao
Hemograma - Hemacias Em Milhoes,,"mm3 4,30 - 5,70","mm3 4,30 - 5,70",Masculino,Adulto,FALSE,25/10/2025
Hemograma - Hemoglobina,g/dl,"13,0 A 17,5 g/dl","13,0 A 17,5 g/dl",Masculino,Adulto,FALSE,10/08/2026
Hemograma - Hematocrito,%,"39,0 - 50,0","39,0 - 50,0",Masculino,Adulto,FALSE,25/10/2025
Hemograma - V.C.M,fL,"81,0 - 95,0","81,0 - 95,0",Masculino,Adulto,FALSE,25/10/2025
Hemograma - H.C.M,pg,"26,0 - 34,0","26,0 - 34,0",Masculino,Adulto,FALSE,25/10/2025
Hemograma - C.H.C.M,g/dL,"31,0 - 36,0","31,0 - 36,0",Masculino,Adulto,FALSE,25/10/2025
Hemograma - R.D.W,%,"11,8 - 15,6","11,8 - 15,6",Masculino,Adulto,FALSE,25/10/2025
Leucocitos,/mm³,3500 - 10500,3500 - 10500,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Blastos (Absoluto),/mm³,0,0,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Blastos (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Promielocitos (Absoluto),/mm³,0,0,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Promielocitos (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Mielocitos (Absoluto),/mm³,0,0,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Mielocitos (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Metamielocitos (Absoluto),/mm³,0,0,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Metamielocitos (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - N. Bastoes (Absoluto),/mm³,até 840,até 840,Masculino,Adulto,FALSE,25/10/2025
Leucograma - N. Bastoes (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - N. Segmentados (Absoluto),/mm³,1700 - 8000,1700 - 8000,Masculino,Adulto,FALSE,25/10/2025
Leucograma - N. Segmentados (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Eosinofilos (Absoluto),/mm³,50 - 500,50 - 500,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Eosinofilos (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Monocitos (Absoluto),/mm³,300 - 900,300 - 900,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Monocitos (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Linfocitos (Absoluto),/mm³,900 - 2900,900 - 2900,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Linfocitos (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Glicose em Jejum,mg/dL,"60 A 99 mg/dL Referência: Referência: Artigo ""The Expert Committee on The Diagnosis and Classification of Diabetes Mellitus. Follow-up Report on the Diagnosis of Diabetes Mellitus. Diabetes Care 2003;26(11):3160-3167."" Anteriores: 200 150 100 87 90 91 80 99 81 50 0 04/10/24 25/02/25 30/06/25 25/10/25 19/02/26 10/08/26 08:56:25 08:54:04 10:27:26 08:01:21 07:37:35 07:52:29","60 A 99 mg/dL Referência: Referência: Artigo ""The Expert Committee on The Diagnosis and Classification of Diabetes Mellitus. Follow-up Report on the Diagnosis of Diabetes Mellitus. Diabetes Care 2003;26(11):3160-3167."" Anteriores: 200 150 100 87 90 91 80 99 81 50 0 04/10/24 25/02/25 30/06/25 25/10/25 19/02/26 10/08/26 08:56:25 08:54:04 10:27:26 08:01:21 07:37:35 07:52:29",Ambos,Ambos,FALSE,10/08/2026
Colesterol Total,mg/dL,"VALORES REFERENCIAIS DESEJÁVEIS (COM OU SEM JEJUM): PARA ADULTOS ACIMA 20 ANOS : INFERIOR A 190 mg/dL PARA CRIANÇAS E ADOLESCENTES: INFERIOR A 170 mg/dL NOTA: - Valores de Colesterol Total maior ou igual a 310 mg/dL (para adultos) ou Colesterol Total maior ou igual a 230 mg/dL (entre 2 e 19 ANOS) podem ser indicativos de Hipercolesterolemia Familiar (Europen Heart Journal, doi:10.1093/eurheartj/eht273). - A interpretação clínica dos resultados deverá levar em consideração o motivo da indicação do exame, o estado metabólico do paciente e estratificação do risco para estabelecimento das metas terapêuticas. - Fonte: Consenso Brasileiro para a Normatização da Determinaçãonação Laboratorial do Perfil Lipídico , versão 1.13.",VALORES REFERENCIAIS DESEJÁVEIS (COM OU SEM JEJUM):; ADULTOS ACIMA 20 ANOS : INFERIOR A 190 mg/dL,Ambos,Adulto,FALSE,10/08/2026
Colesterol Não-HDL,mg/dL,"Valor de alvo terapeutico sugerido para categoria de risco cardiovascular estimado pelo medico solicitante para adultos acima de 20 ANOS: Categoria de Risco Meta (com ou sem jejum) mg/dL Risco Baixo................Inferior a 160 Risco Intermediário...Inferior a 130 Risco Alto .................Inferior a 100 Risco Muito Alto........Inferior a 80 NOTA: O Consenso Brasileiro para a Normatizacao de Determinaçãonação Laboratorial do Perfil Lipidico, recomenda a utilização do parâmetro Colesterol Não-HDL,resultante do calculo baseado no Colesterol Total e HDL Colesterol.",Valor de alvo terapeutico sugerido; categoria de risco cardiovascular estimado pelo medico solicitante; adultos acima de 20 ANOS: Categoria de Risco Meta (com ou sem jejum) mg/dL Risco Baixo; Inferior a 160 Risco Intermediário; Inferior a 130 Risco Alto; Inferior a 100 Risco Muito Alto; Inferior a 80,Ambos,Ambos,FALSE,25/02/2025
Colesterol HDL,mg/dL,"VALORES REFERENCIAIS DESEJÁVEIS (COM OU SEM JEJUM): PARA ADULTOS ACIMA DE 20 ANOS: SUPERIOR A 40 mg/dL PARA CRIANÇAS E ADOLESCENTES : SUPERIOR A 45 mg/dL NOTA: - Fontes: Diretriz Brasileira de Dislipidemias e Prevenção da Aterosclerose - 2025 e Consenso Brasileiro para Normatização da Determinaçãonação Laboratorial do Perfil Lipídico, versão 1.13.",VALORES REFERENCIAIS DESEJÁVEIS (COM OU SEM JEJUM):; ADULTOS ACIMA DE 20 ANOS: SUPERIOR A 40 mg/dL,Ambos,Adulto,FALSE,10/08/2026
Triglicerídeos,mg/dL,"VALORES REFERENCIAIS DESEJÁVEIS: PARA ADULTOS ACIMA 20 ANOS: (COM JEJUM): INFERIOR A 150 mg/dL (SEM JEJUM): INFERIOR A 175 mg/dL PARA CRIANÇAS E ADOLESCENTES: DE 0 A 9 ANOS (COM JEJUM): INFERIOR A 75 mg/dL (SEM JEJUM): INFERIOR A 85 mg/dL DE 10 A 19 ANOS (COM JEJUM): INFERIOR A 90 mg/dL (SEM JEJUM): INFERIOR A 100 mg/dL NOTAS: - A interpretação clínica dos resultados deverá levar em consideração o motivo da indicação do exame, o estado metabólico do paciente e estratificação do risco para estabelecimento das metas terapêuticas. - Quando os níveis de triglicérides estiverem acima de 440 mg/dL (sem jejum) sugere-se nova determinação dos triglicérides com jejum de","VALORES REFERENCIAIS DESEJÁVEIS:; ADULTOS ACIMA 20 ANOS: (COM JEJUM): INFERIOR A 150 mg/dL (SEM JEJUM): INFERIOR A 175 mg/dL; 9 ANOS (COM JEJUM): INFERIOR A 75 mg/dL (SEM JEJUM): INFERIOR A 85 mg/dL; 19 ANOS (COM JEJUM): INFERIOR A 90 mg/dL (SEM JEJUM): INFERIOR A 100 mg/dL NOTAS: - A interpretação clínica dos resultados deverá levar em consideração o motivo da indicação do exame, o estado metabólico do paciente e estratificação do risco; estabelecimento das metas terapêuticas; - Quando os níveis de triglicérides estiverem acima de 440 mg/dL (sem jejum) sugere-se nova determinação dos triglicérides com jejum de",Ambos,Adulto,FALSE,10/08/2026
Ureia,mg/dl,"RECÉM-NASCIDOS : DE 8,4 A 25,8 mg/dL Referencia : CRIANÇAS : DE 10,8 A 38,4 mg/dL ADULTOS ATÉ 50 ANOS : DE 15,0 A 44,1 mg/dL ADULTOS ACIMA DE 50 ANOS : DE 18,0 A 55,0 mg/dL 80 60 50,9 41,5 40 28,9 20 0 25/10/25 19/02/26 10/08/26 08:01:23 07:37:38 07:52:26","RECÉM-NASCIDOS : DE 8,4 A 25,8 mg/dL Referencia : CRIANÇAS : DE 10,8 A 38,4 mg/dL ADULTOS ATÉ 50 ANOS : DE 15,0 A 44,1 mg/dL ADULTOS ACIMA DE 50 ANOS : DE 18,0 A 55,0 mg/dL 80 60 50,9 41,5 40 28,9 20 0 25/10/25 19/02/26 10/08/26 08:01:23 07:37:38 07:52:26",Ambos,Adulto,FALSE,10/08/2026
Creatinina Sérica,mg/dL,"referência: HOMENS INFERIOR A 50 ANOS 0,84 A 1,25 mg/dL HOMENS SUPERIOR A 50 ANOS 0,81 A 1,44 mg/dL MULHERES 0,66 A 1,09 mg/dL RECEM NASCIDOS 0,5 A 1,2 mg/dL INFANTIL 0,4 A 0,7 mg/dL CRIANCA 0,5 A 1,2 mg/dL 2 1,5 1,06 1,09 1,12 1,07 0,97 1,01 1 0,5 0 07/12/18 21/03/20 21/09/21 21/10/22 04/01/24 25/02/25 08:20:00 07:19:06 10:31:18 08:02:40 08:23:22 08:54:29","referência: HOMENS INFERIOR A 50 ANOS 0,84 A 1,25 mg/dL HOMENS SUPERIOR A 50 ANOS 0,81 A 1,44 mg/dL MULHERES 0,66 A 1,09 mg/dL RECEM NASCIDOS 0,5 A 1,2 mg/dL INFANTIL 0,4 A 0,7 mg/dL CRIANCA 0,5 A 1,2 mg/dL 2 1,5 1,06 1,09 1,12 1,07 0,97 1,01 1 0,5 0 07/12/18 21/03/20 21/09/21 21/10/22 04/01/24 25/02/25 08:20:00 07:19:06 10:31:18 08:02:40 08:23:22 08:54:29",Masculino,Ambos,FALSE,25/02/2025
Potássio,mEq/L,"3,5 A 5,1 mEq/L Referencia : 7 6 5 4,5 4,7 4,6 4,9 4,3 3,8 4 3 2 21/10/22 04/01/24 25/02/25 25/10/25 19/02/26 10/08/26 08:07:08 08:23:43 08:54:04 08:01:21 07:37:35 07:52:29","3,5 A 5,1 mEq/L Referencia : 7 6 5 4,5 4,7 4,6 4,9 4,3 3,8 4 3 2 21/10/22 04/01/24 25/02/25 25/10/25 19/02/26 10/08/26 08:07:08 08:23:43 08:54:04 08:01:21 07:37:35 07:52:29",Ambos,Ambos,FALSE,10/08/2026
Ácido Úrico,mg/dl,"HOMENS : DE 3,7 A 7,7 mg/dL Referencia : MULHERES: DE 2,5 A 6,2 mg/dL NOTA: - Pacientes em tratamento para gota, recomenda-se níveis séricos de ácido úrico abaixo de 6 mg/dL. 10 8 6 4 3,3 3,5 2 25/10/25 10/08/26 08:02:35 07:52:30","HOMENS : DE 3,7 A 7,7 mg/dL Referencia : MULHERES: DE 2,5 A 6,2 mg/dL",Masculino,Ambos,FALSE,10/08/2026
TGO (AST),U/L,"referência:HOMEM (ADULTOS) INFERIOR A 50 U/L MULHER (ADULTOS) INFERIOR A 35 U/L RECEM NASCIDOS 25 A 75 U/L INFANTIL 15 A 60 U/L Especificacoes da Qualidade Analitica: Coeficiente de Variacao Biologica Intra-Individual: 12,3% Erro Total Permitido..............................: 16,69% FONTE: James Westgard - EUA 100 80 60 40 16 16 16 16 19 17 20","referência:HOMEM (ADULTOS) INFERIOR A 50 U/L MULHER (ADULTOS) INFERIOR A 35 U/L RECEM NASCIDOS 25 A 75 U/L INFANTIL 15 A 60 U/L Especificacoes da Qualidade Analitica: Coeficiente de Variacao Biologica Intra-Individual: 12,3% Erro Total Permitido; : 16,69%",Masculino,Adulto,FALSE,25/02/2025
TGP (ALT),U/L,"HOMEM (ADULTOS) INFERIOR A 50 U/L Referencia : MULHER (ADULTOS) INFERIOR A 35 U/L RECEM NASCIDOS/CRIANCA COM MENOS DE 7 ANOS 13 A 45 U/L Especificacoes da Qualidade Analitica: Coeficiente de Variacao Biologica Intra-Individual: 19,40% Erro Total Permitido..............................: 27,48% FONTE: James Westgard - EUA 80 60 40 21 23 18 16 20 17 20 0 03/09/20 24/04/21 21/09/21 21/10/22 04/01/24 25/02/25","HOMEM (ADULTOS) INFERIOR A 50 U/L Referencia : MULHER (ADULTOS) INFERIOR A 35 U/L RECEM NASCIDOS/CRIANCA COM MENOS DE 7 ANOS 13 A 45 U/L Especificacoes da Qualidade Analitica: Coeficiente de Variacao Biologica Intra-Individual: 19,40% Erro Total Permitido; : 27,48%",Masculino,Adulto,FALSE,25/02/2025
Gama Gt,U/L,"HOMENS ADULTOS INFERIOR A 55 U/L Referencia : MULHERES ADULTAS INFERIOR A 38 U/L CRIANCAS HOMENS(U/L) MULHERES(U/L) 1 A 182 DIAS 12 A 122 15 A 132 183 A 365 DIAS 1 A 39 1 A 39 1 A 12 ANOS 3 A 22 4 A 22 13 A 18 ANOS 2 A 42 4 A 24 Especificacoes da Qualidade Analitica: Coeficiente de Variacao Biologica Intra-Individual: 13,4% 100 80 60 40 20 20,00 16,00 18,00 17,00 16,00 14,00","HOMENS ADULTOS INFERIOR A 55 U/L Referencia : MULHERES ADULTAS INFERIOR A 38 U/L CRIANCAS HOMENS(U/L) MULHERES(U/L) 1 A 182 DIAS 12 A 122 15 A 132 183 A 365 DIAS 1 A 39 1 A 39 1 A 12 ANOS 3 A 22 4 A 22 13 A 18 ANOS 2 A 42 4 A 24 Especificacoes da Qualidade Analitica: Coeficiente de Variacao Biologica Intra-Individual: 13,4% 100 80 60 40 20 20,00 16,00 18,00 17,00 16,00 14,00",Masculino,Adulto,FALSE,25/02/2025
Cpk Creatino Fosfoquinase,U/L,HOMENS : INFERIOR OU IGUAL A 200 U/L Referencia : MULHERES: INFERIOR OU IGUAL A 180 U/L Atenção para alteração no valor de referência a partir de 11/06/25 1.500 1.000 500 132 174 0 25/10/25 10/08/26 08:02:35 07:52:30,HOMENS : INFERIOR OU IGUAL A 200 U/L Referencia : MULHERES: INFERIOR OU IGUAL A 180 U/L,Masculino,Ambos,FALSE,10/08/2026
Hemoglobina Glicada (HbA1c),%,"referência:MENOR QUE 5,7% DIABETES MELLITUS: PRÉ-DIABETES: DE 5,7 A 6,4% DIAGNÓSTICO : IGUAL OU MAIOR QUE 6,5% BOM CONTROLE : MENOR QUE 7%","referência:MENOR QUE 5,7% DIABETES MELLITUS: PRÉ-DIABETES: DE 5,7 A 6,4% DIAGNÓSTICO : IGUAL OU MAIOR QUE 6,5% BOM CONTROLE : MENOR QUE 7%",Masculino,Adulto,FALSE,10/08/2026
