Exame,Unidade,Referencia_Texto_Completo,Referencia_Paciente_Especifico,Sexo,Faixa_Etaria,Gestante,Data_Ultima_Atualizacao
Hemograma - Hemoglobina,g/dl,"12,0 A 16,0 g/dl","12,0 A 16,0 g/dl",Feminino,Adulto,FALSE,10/08/2026
Hemograma - Hematocrito,%,"35,0 - 45,0","35,0 - 45,0",Feminino,Adulto,FALSE,25/10/2025
Hemograma - V.C.M,fL,"82,0 - 98,0","82,0 - 98,0",Feminino,Adulto,FALSE,25/10/2025
Hemograma - H.C.M,pg,"26,0 - 34,0","26,0 - 34,0",Feminino,Adulto,FALSE,25/10/2025
Hemograma - C.H.C.M,g/dL,"31,0 - 36,0","31,0 - 36,0",Feminino,Adulto,FALSE,25/10/2025
Hemograma - R.D.W,%,"11,9 - 15,5","11,9 - 15,5",Feminino,Adulto,FALSE,25/10/2025
Leucocitos,/mm³,3500 - 10500,3500 - 10500,Feminino,Adulto,FALSE,25/10/2025
Leucograma - Blastos (Absoluto),/mm³,0,0,Feminino,Adulto,FALSE,25/10/2025
Leucograma - Blastos (%),%,,,Feminino,Adulto,FALSE,25/10/2025
Leucograma - Promielocitos (Absoluto),/mm³,0,0,Feminino,Adulto,FALSE,25/10/2025
Leucograma - Promielocitos (%),%,,,Feminino,Adulto,FALSE,25/10/2025
Leucograma - Mielocitos (Absoluto),/mm³,0,0,Feminino,Adulto,FALSE,25/10/2025
Leucograma - Mielocitos (%),%,,,Feminino,Adulto,FALSE,25/10/2025
Leucograma - Metamielocitos (Absoluto),/mm³,0,0,Feminino,Adulto,FALSE,25/10/2025
Leucograma - Metamielocitos (%),%,,,Feminino,Adulto,FALSE,25/10/2025
Leucograma - N. Bastoes (Absoluto),/mm³,até 840,até 840,Feminino,Adulto,FALSE,25/10/2025
Leucograma - N. Bastoes (%),%,,,Feminino,Adulto,FALSE,25/10/2025
Leucograma - N. Segmentados (Absoluto),/mm³,1800 - 8000,1800 - 8000,Feminino,Adulto,FALSE,25/10/2025
Leucograma - N. Segmentados (%),%,,,Feminino,Adulto,FALSE,25/10/2025
Leucograma - Eosinofilos (Absoluto),/mm³,50 - 500,50 - 500,Feminino,Adulto,FALSE,25/10/2025
Leucograma - Eosinofilos (%),%,,,Feminino,Adulto,FALSE,25/10/2025
Leucograma - Monocitos (Absoluto),/mm³,300 - 900,300 - 900,Feminino,Adulto,FALSE,25/10/2025
Leucograma - Monocitos (%),%,,,Feminino,Adulto,FALSE,25/10/2025
Leucograma - Linfocitos (Absoluto),/mm³,900 - 2900,900 - 2900,Feminino,Adulto,FALSE,25/10/2025
Leucograma - Linfocitos (%),%,,,Feminino,Adulto,FALSE,25/10/2025
Hemoglobina Glicada (HbA1c),%,"referência:MENOR QUE 5,7% DIABETES MELLITUS: PRÉ-DIABETES: DE 5,7 A 6,4% DIAGNÓSTICO : IGUAL OU MAIOR QUE 6,5% BOM CONTROLE : MENOR QUE 7%","referência:MENOR QUE 5,7% DIABETES MELLITUS: PRÉ-DIABETES: DE 5,7 A 6,4% DIAGNÓSTICO : IGUAL OU MAIOR QUE 6,5% BOM CONTROLE : MENOR QUE 7%",Feminino,Adulto,FALSE,10/08/2026
